City,State,Country
Aguascalientes,Aguascalientes,Mexico
Campeche,Campeche,Mexico
Chetumal,Quintana Roo,Mexico
Chihuahua,Chihuahua,Mexico
Chilpancingo,Guerrero,Mexico
Ciudad Victoria,Tamaulipas,Mexico
Cuernavaca,Morelos,Mexico
Cuidad de Mexico,Ciudad de Mexico,Mexico
Culiacan,Sinaloa,Mexico
Durango,Durango,Mexico
Guadalajara,Jalisco,Mexico
Guanajuato,Guanajuato,Mexico
Hermosillo,Sonora,Mexico
La Paz,Baja California Sur,Mexico
Merida,Yucatan,Mexico
Mexicali,Baja California,Mexico
Monterrey,Nuevo Leon,Mexico
Morelia,Michoacan,Mexico
Oaxaca,Oaxaca,Mexico
Pachuca,Hidalgo,Mexico
Puebla,Puebla,Mexico
Saltillo,Coahuila,Mexico
San Luis Potosi,San Luis Potosi,Mexico
Santiago,Nuevo Leon,Mexico
Toluca,Estado de Mexico,Mexico
Tuxtla Gutierrez,Chiapas,Mexico
Villahermosa,Tabasco,Mexico
Xalapa,Veracruz,Mexico
Zacatecas,Zacatecas,Mexico
